codigo; nome; endereco; email; telefone; categoria; CPF; emprestimos correntes
2;asdfasfdsgdsh;b;prof;b;b;b;2
2;asdfasfdsgdsh;b;b;prof;b;b;2
2;asdfasfdsgdsh;b;b;prof;b;b;2
2;asdfasfdsgdsh;b;b;b;prof;b;2
2;asdfasfdsgdsh;b;b;prof;b;b;2
2;asdfasfdsgdsh;b;b;b;prof;b;2
2;asdfasfdsgdsh;b;b;b;prof;b;2
2;asdfasfdsgdsh;b;prof;b;b;b;2
2;asdfasfdsgdsh;b;b;prof;b;b;2
2;asdfasfdsgdsh;b;b;b;prof;b;2
2;asdfasfdsgdsh;b;b;b;prof;b;2
2;asdfasfdsgdsh;b;prof;b;b;b;2
2;asdfasfdsgdsh;b;b;b;prof;b;2
2;asdfasfdsgdsh;b;prof;b;b;b;2
2;asdfasfdsgdsh;b;prof;b;b;b;2
2;asdfasfdsgdsh;b;b;prof;b;b;2
